Company Name,HeadQuarter,Sector,Amount($),Stage,Year Funded
TheCollegeFever,Bangalore,Marketing,250000.0,Seed Stage ,2018
Happy Cow Dairy,Mumbai,Marketing,584795.3216374269,Seed Stage ,2018
MyLoanCare,Gurgaon,Finance,950292.3976608186,Series Stage ,2018
PayMe India,Noida,Finance,2000000.0,Others Stage ,2018
Eunimart,Hyderabad,E-Commerce,1300000.0,Seed Stage ,2018
Hasura,Bengaluru,Technology,1600000.0,Seed Stage ,2018
Tripshelf,Delhi,Technology,233918.12865497073,Seed Stage ,2018
Hyperdata.IO,Hyderabad,Marketing,730994.1520467836,Others Stage ,2018
Freightwalla,Mumbai,Technology,1300000.0,Seed Stage ,2018
Microchip Payments,Bangalore,Technology,1300000.0,Seed Stage ,2018
BizCrum Infotech Pvt. Ltd.,Delhi,Marketing,1300000.0,Seed Stage ,2018
Emojifi,Bengaluru,Technology,1300000.0,Seed Stage ,2018
Flock,Bangalore,Technology,1300000.0,Seed Stage ,2018
Freshboxx,Hubli,Transport,1300000.0,Seed Stage ,2018
Wide Mobility Mechatronics,Bangalore,Marketing,1300000.0,Seed Stage ,2018
Pitstop,Bengaluru,Transport,1461988.3040935672,Seed Stage ,2018
Mihuru,Mumbai,Finance,150000.0,Seed Stage ,2018
Fyle,Bengaluru,Finance,1100000.0,Seed Stage ,2018
AppWharf,New Delhi,Technology,1300000.0,Seed Stage ,2018
Antariksh Waste Ventures Pvt ltd,Chennai,Technology,7309.941520467835,Seed Stage ,2018
Cogoport,Mumbai,Transport,6000000.0,Series Stage ,2018
PaisaDukan,Mumbai,Finance,650000.0,Seed Stage ,2018
Sleepy Owl Coffee,New Delhi,Marketing,511695.9064327485,Seed Stage ,2018
BlueJack,Delhi,Transport,935672.5146198829,Seed Stage ,2018
PregBuddy,Bengaluru,Technology,1300000.0,Seed Stage ,2018
AgNext Technologies,Mohali,Marketing,1300000.0,Series Stage ,2018
Pando,Chennai,Transport,2000000.0,Seed Stage ,2018
Mintifi,Mumbai,Finance,2000000.0,Seed Stage ,2018
Carcrew,Mumbai,Transport,2000000.0,Seed Stage ,2018
NicheAI,Hyderabad,Technology,1300000.0,Others Stage ,2018
Chariot Tech,New Delhi,Technology,292397.6608187134,Seed Stage ,2018
Ideal Insurance Brokers/ 121Policy.com,Kolkata,Finance,1000000.0,Seed Stage ,2018
Loanzen,Bangalore,Finance,1300000.0,Seed Stage ,2018
Mojro Technologies,Bengaluru,Technology,650000.0,Seed Stage ,2018
Elemential,Mumbai,Finance,1000000.0,Seed Stage ,2018
Loadshare,Bengaluru,Marketing,5000000.0,Series Stage ,2018
Yumlane,Mumbai,Marketing,4000000.0,Series Stage ,2018
Kriger Campus,New Delhi,Education,438596.4912280701,Seed Stage ,2018
Pipa+Bella,Mumbai,E-Commerce,1000000.0,Series Stage ,2018
Kaleidofin,Chennai,Finance,2800000.0,Seed Stage ,2018
Chakr Innovation,New Delhi,Marketing,1300000.0,Seed Stage ,2018
IndigoLearn,Hyderabad,Education,150000.0,Seed Stage ,2018
UClean,Bangalore,Marketing,584795.3216374269,Seed Stage ,2018
Coutloot,Mumbai,E-Commerce,1000000.0,Seed Stage ,2018
Letstrack,New Delhi,Technology,1700000.0,Seed Stage ,2018
Pooltoo,New Delhi,Transport,1300000.0,Seed Stage ,2018
Finzy,Bangalore,Finance,1300000.0,Seed Stage ,2018
Fitternity,Mumbai,Technology,2000000.0,Seed Stage ,2018
Keito,Pune,Technology,1300000.0,Seed Stage ,2018
Tolet for Students,Jodhpur,Technology,73099.41520467836,Seed Stage ,2018
Chai Kings,Chennai,Marketing,292397.6608187134,Seed Stage ,2018
Dainik Jagran,Kanpur,Technology,584795.3216374269,Seed Stage ,2018
Playtoome,Bengaluru,Entertainment,292397.6608187134,Seed Stage ,2018
ONGO Framework,Hyderabad,Marketing,1000000.0,Others Stage ,2018
Notesgen,New Delhi,Technology,182748.5380116959,Seed Stage ,2018
Arogya MedTech,Kolkata,Healthcare,219298.24561403506,Seed Stage ,2018
Propshop24,Mumbai,E-Commerce,500000.0,Seed Stage ,2018
myUpchar,New Delhi,Healthcare,5000000.0,Series Stage ,2018
MissMalini Entertainment,Mumbai,Marketing,1520467.83625731,Seed Stage ,2018
Rooter,Bangalore,Entertainment,657894.7368421052,Seed Stage ,2018
ZestMoney,Bangalore,Technology,13400000.0,Series Stage ,2018
